geo_level, geo_code, geo_version, class, name, statistic, total
district,DC10,2016,800 001-1M,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,Above1M,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,Under1.5K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,1 501-3K,Aberdeen,Highest price per hectare in 12 months(R/ha),2796
district,DC10,2016,3 001-5K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,5 001-10K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,10 001-20K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,20 001-30K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,30 001-40K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,40 001-50K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,50 001-100K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,100 001-150K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,150 001-200K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,200 001-300K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,300 001-500K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,500 001-800K,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,800 001-1M,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,Above1M,Aberdeen,Highest price per hectare in 12 months(R/ha),
district,DC10,2016,Under1.5K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,1 501-3K,Aberdeen,Average price per hectare in 12 months(R/ha),2796
district,DC10,2016,3 001-5K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,5 001-10K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,10 001-20K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,20 001-30K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,30 001-40K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,40 001-50K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,50 001-100K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,100 001-150K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,150 001-200K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,200 001-300K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,300 001-500K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,500 001-800K,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,800 001-1M,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,Above1M,Aberdeen,Average price per hectare in 12 months(R/ha),
district,DC10,2016,Under1.5K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,1 501-3K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,3 001-5K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,5 001-10K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,10 001-20K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,20 001-30K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,30 001-40K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,40 001-50K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,50 001-100K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,100 001-150K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,150 001-200K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,200 001-300K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,300 001-500K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,500 001-800K,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,800 001-1M,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,Above1M,Aberdeen,Price trend per hectare in 12 months(R/ha),
district,DC10,2016,Under1.5K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,1 501-3K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,3 001-5K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,5 001-10K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,10 001-20K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,20 001-30K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,30 001-40K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,40 001-50K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,50 001-100K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,100 001-150K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,150 001-200K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,200 001-300K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,300 001-500K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,500 001-800K,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,800 001-1M,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,Above1M,Aberdeen,Average trend in 12 months(%),
district,DC10,2016,Under1.5K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,1 501-3K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,3 001-5K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,5 001-10K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,10 001-20K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,20 001-30K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,30 001-40K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,40 001-50K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,50 001-100K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,100 001-150K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,150 001-200K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,200 001-300K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,300 001-500K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,500 001-800K,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,800 001-1M,Aberdeen,Average price in November 2018(R/ha),
district,DC10,2016,Above1M,Aberdeen,Average price in November 2018(R/ha),
district,DC32,2016,Under1.5K,Acornhoek Bushbuckridge,Number of transactions in 12 months,1
district,DC32,2016,1 501-3K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,3 001-5K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,5 001-10K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,10 001-20K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,20 001-30K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,30 001-40K,Acornhoek Bushbuckridge,Number of transactions in 12 months,1
district,DC32,2016,40 001-50K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,50 001-100K,Acornhoek Bushbuckridge,Number of transactions in 12 months,1
district,DC32,2016,100 001-150K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,150 001-200K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,200 001-300K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,300 001-500K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,500 001-800K,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,800 001-1M,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,Above1M,Acornhoek Bushbuckridge,Number of transactions in 12 months,
district,DC32,2016,Under1.5K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),685
district,DC32,2016,1 501-3K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,3 001-5K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,5 001-10K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,10 001-20K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,20 001-30K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,30 001-40K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),961
district,DC32,2016,40 001-50K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,50 001-100K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),475
district,DC32,2016,100 001-150K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,150 001-200K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,200 001-300K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,300 001-500K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,500 001-800K,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,800 001-1M,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,Above1M,Acornhoek Bushbuckridge,Total hectare traded in 12 months(ha),
district,DC32,2016,Under1.5K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),1117
district,DC32,2016,1 501-3K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,3 001-5K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,5 001-10K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,10 001-20K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,20 001-30K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,30 001-40K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),39542
district,DC32,2016,40 001-50K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,50 001-100K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),50400
district,DC32,2016,100 001-150K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,150 001-200K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,200 001-300K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,300 001-500K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,500 001-800K,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,800 001-1M,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,Above1M,Acornhoek Bushbuckridge,Lowest price per hectare in 12 months(R/ha),
district,DC32,2016,Under1.5K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),1117
district,DC32,2016,1 501-3K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,3 001-5K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,5 001-10K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,10 001-20K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,20 001-30K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,30 001-40K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),39542
district,DC32,2016,40 001-50K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,50 001-100K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),50400
